"Wavelength, Å","Element","Spectrum","Rel. Intensity","Est. Visual Brightness","Lower Config","Lower Term+J","Lower Level","Upper Config","Upper Term+J","Upper Level"
"3927.2","Bi","III","0.37","-","6s.6p2.(3P)","2P3/2","130964.4","6s2.8p","2P*3/2","156420.63"
"3930.43","Bi","III","3.6","-","6s.6p2.(1S)","2S1/2","130984.9","6s2.8p","2P*3/2","156420.63"
"4079.072","Bi","II","255","10","","","","","",""
"4097.2","Bi","II","40","2","","","","","",""
"4121.704","Bi","I","55","4","6p3","2P*1/2","21660.914","6p2.(3P<1>).7s","2[1]1/2","45915.883"
"4224.67","Bi","III","10","4","6s2.6f","2F*7/2","162184.4","6s2.7g","2G9/2","185848.1"
"4234.17","Bi","III","10","4","6s2.6f","2F*5/2","162241.6","6s2.7g","2G7/2","185852.1"
"4259.413","Bi","II","5.1","2","6p.6d","(1/2,5/2)*3","82257.251","6p.5f","(1/2,7/2)4","105728.06"
"4272.","Bi","II","2","1","","","","","",""
"4301.697","Bi","II","6.9","3","6p.6d","(1/2,5/2)*2","82049.632","6p.5f","(1/2,7/2)3","105289.732"
"4306.57","Bi","III","15","6","6s.6p2.(1S)","2S1/2","130984.9","6s2.8p","2P*1/2","154198.9"
"4308.36","Bi","I","45","20","6p3","2P*1/2","21660.914","6p2.(3P<1>).7s","2[1]3/2","44865.076"
"4327.87","Bi","III","35","16","6s2.7p","2P*3/2","122128.6","6s2.8s","2S1/2","145227.9"
"4339.8","Bi","II","90","41","","","","","",""
"4340.5","Bi","II","285","135","","","","","",""
"4342.","Bi","IV","2","1","","","","","",""
"4379.4","Bi","II","420","202","","","","","",""
"4476.8","Bi","II","5.7","3","","","","","",""
"4493.01","Bi","I","435","211","6p3","2P*1/2","21660.914","6p2.(3P<0>).6d","2[2]3/2","43912.374"
"4561.29","Bi","III","315","161","6s2.7s","2S1/2","95076.57","6s2.7p","2P*1/2","116993.4"
"4705.285","Bi","II","240","142","6p.7p","(1/2,1/2)1","84280.446","6p.7d","(1/2,3/2)*2","105527.197"
"4722.528","Bi","I","5500","3369","6p3","2D*3/2","11419.039","6p2.(3P<0>).7s","2[0]1/2","32588.221"
"4728.73","Bi","III","6.7","4","6s.6p2.(1D)","2D5/2","116414.3","6s2.5f","2F*5/2","137555.28"
"4730.267","Bi","II","135","86","","","","","",""
"4749.7","Bi","II","100","61","","","","","",""
"4751.34","Bi","III","20","13","6s.6p2.(1D)","2D5/2","116414.3","6s2.5f","2F*7/2","137455.39"
"4797.5","Bi","III","20","12","6s2.6d","2D3/2","96154.69","6s2.7p","2P*1/2","116993.4"
"4809.07","Bi","III","3.3","2","6s2.6p","2P*1/2","0","6s2.6p","2P*3/2","20788.18"
"4908.2","Bi","II","0.38","-","","","","","",""
"4916.6","Bi","II","35","24","","","","","",""
"4969.7","Bi","II","25","19","","","","","",""
"4993.6","Bi","II","0.55","-","","","","","",""
"5051.82","Bi","III","3.6","3","6s2.5g","2G9/2","166234.6","6s2.7h","2H*9/2","186024.1"
"5052.43","Bi","III","2.6","2","6s2.5g","2G7/2","166237.2","6s2.7h","2H*9/2","186024.1"
"5079.4","Bi","III","9.3","8","6s2.6d","2D5/2","102446.27","6s2.7p","2P*3/2","122128.6"
"5091.6","Bi","II","0.2","-","","","","","",""
"5124.356","Bi","II","180","158","6p.7s","(3/2,1/2)*2","88771.443","6p.7p","(3/2,3/2)3","108280.653"
"5144.492","Bi","II","300","263","6p.7s","(1/2,1/2)*0","69133.891","6p.7p","(1/2,3/2)1","88566.685"
"5201.5","Bi","II","0.19","-","","","","","",""
"5209.325","Bi","II","600","538","6p.7s","(1/2,1/2)*1","69598.475","6p.7p","(1/2,3/2)2","88789.478"
"5270.512","Bi","II","105","103","","","","","",""
"5347.","Bi","IV","0.65","1","","","","","",""
"5397.8","Bi","II","20","19","","","","","",""
"5552.05","Bi","I","8.1","8","6p2.(3P<0>).7s","2[0]1/2","32588.221","6p2.(3P<0>).8p","2[1]*3/2","50594.588"
"5599.342","Bi","I","20","18","6p3","2P*3/2","33164.805","6p2.(3P<0>).7d","2[2]3/2","51019.09"
"5655.2","Bi","II","0.44","-","","","","","",""
"5719.138","Bi","II","40","38","","","","","",""
"5742.361","Bi","I","65","63","6p2.(3P<0>).7s","2[0]1/2","32588.221","6p2.(3P<0>).8p","2[1]*1/2","49997.834"
"5818.3","Bi","II","25","24","","","","","",""
"5860.2","Bi","II","210","183","","","","","",""
"5973.","Bi","II","300","251","","","","","",""
"6059.1","Bi","II","300","225","","","","","",""
"6128.","Bi","II","195","127","","","","","",""
"6134.82","Bi","I","315","213","6p3","2P*3/2","33164.805","6p2.(3P<2>).7s","2[2]3/2","49460.91"
"6139.2","Bi","III","1.4","1","6s2.6f","2F*7/2","162184.4","6s2.6g","2G7/2","178469"
"6140.4","Bi","III","9.5","6","6s2.6f","2F*7/2","162184.4","6s2.6g","2G9/2","178465.5"
"6160.6","Bi","III","6.7","4","6s2.6f","2F*5/2","162241.6","6s2.6g","2G7/2","178469"
"6476.24","Bi","I","25","9","","","","","",""
"6497.7","Bi","II","40","13","","","","","",""
"6577.2","Bi","II","105","28","","","","","",""
"6600.339","Bi","II","435","105","","","","","",""
"6623.23","Bi","III","10","2","6s2.8p","2P*1/2","154198.9","6s2.8d","2D3/2","169293.1"
"6809.196","Bi","II","7.4","1","","","","","",""
"6990.924","Bi","I","45","2","6p2.(3P<0>).7p","2[1]*1/2","41124.985","6p2.(3P<0>).9d","2[2]3/2","55425.301"
"7033.","Bi","II","85","4","","","","","",""
"7036.026","Bi","I","15","1","6p3","2P*3/2","33164.805","6p2.(3P<0>).8s","2[0]1/2","47373.477"
"7381.","Bi","II","65","-","","","","","",""
"7382.9","Bi","III","0.67","-","6s.6p2.(1D)","2D3/2","108586.42","6s2.7p","2P*3/2","122128.6"
"7502.33","Bi","I","20","-","","","","","",""
"7552.4","Bi","III","2.8","-","6s2.8p","2P*3/2","156420.63","6s2.8d","2D5/2","169657.6"
"7599.8","Bi","III","6.2","-","6s2.7d","2D3/2","149086.7","6s2.6f","2F*5/2","162241.6"
"7637.","Bi","II","60","-","","","","","",""
"7638.6","Bi","III","1.8","-","6s2.8p","2P*1/2","154198.9","6s2.9s","2S1/2","167288.7"
"7750.","Bi","II","55","-","","","","","",""
"7838.617","Bi","I","1000","-","6p2.(3P<0>).7p","2[1]*1/2","41124.985","6p2.(3P<0>).8d","2[2]3/2","53878.83"
"7840.316","Bi","I","0.053","-","6p3","2P*3/2","33164.805","6p2.(3P<1>).7s","2[1]1/2","45915.883"
"7965.","Bi","II","120","-","","","","","",""
"8008.4","Bi","III","15","-","6s2.5g","2G9/2","166234.6","6s2.6h","2H*9/2","178718.1"
"8032.7","Bi","III","0.43","-","6s2.7d","2D5/2","149795.4","6s2.6f","2F*5/2","162241.6"
"8050.","Bi","II","70","-","","","","","",""
"8070.3","Bi","III","15","-","6s2.7d","2D5/2","149795.4","6s2.6f","2F*7/2","162184.4"
"8100.3","Bi","III","1.6","-","6s2.5f","2F*7/2","137455.39","6s2.7d","2D5/2","149795.4"
"8167.8","Bi","III","0.1","-","6s2.5f","2F*5/2","137555.28","6s2.7d","2D5/2","149795.4"
